sub,ses,task,edf_start,edf_duration_s,edf_n_signals,edf_fs,json_fs,json_duration_s,n_events,first_event_s,last_event_s,ecg_exists,button_exists,ecg_fs,ecg_duration_s,ecg_start_declared
sub-001,ses-01,activemotor,2024-02-11 11:51:14,215.999136,33,250.00100000400002,250.0009023984434,215.999136,19,25.0,199.0,True,False,1882.453362622982,215.00027997297002,0.0
sub-001,ses-01,full,2024-02-12 10:30:06,215.999136,33,250.00100000400002,250.0009023984434,215.999136,73,25.0,203.5,True,False,1882.453362622982,215.00027997297002,0.0
sub-001,ses-01,mentalarithmetic,2024-02-12 08:26:10,215.999136,33,250.00100000400002,250.0009023984434,215.999136,73,25.0,203.5,True,False,1882.453362622982,215.00027997297002,0.0
sub-001,ses-01,motorimagery,2023-12-14 17:39:56,215.999136,33,250.00100000400002,250.0009023984434,215.999136,19,25.0,200.0,True,False,1882.453362622982,215.00027997297002,0.0
sub-001,ses-01,nback,2023-12-12 11:40:42,215.999136,33,250.00100000400002,250.0009023984434,215.999136,121,25.0,204.5,True,True,1882.453362622982,215.00027997297002,0.0
sub-001,ses-01,nbackarithmetic,2024-02-12 09:25:33,215.999136,33,250.00100000400002,250.0009023984434,215.999136,73,25.0,203.5,True,True,1882.453362622982,215.00027997297002,0.0
sub-001,ses-01,passivemotor,2024-02-19 11:15:37,215.999136,33,250.00100000400002,250.0009023984434,215.999136,19,25.0,194.0,True,False,1882.453362622982,215.00027997297002,0.0
sub-001,ses-02,activemotor,2024-02-11 12:19:41,215.99892,33,250.00125000625005,250.00119525819466,215.99892,19,25.0,197.0,True,False,1879.7564884669637,215.00018884339806,0.0
sub-001,ses-02,full,2024-02-12 10:30:35,215.99892,33,250.00125000625005,250.00119525819466,215.99892,73,25.0,203.5,True,False,1879.7564884669637,215.00018884339806,0.0
sub-001,ses-02,mentalarithmetic,2024-02-14 16:58:45,215.99892,33,250.00125000625005,250.00119525819466,215.99892,73,25.0,203.5,True,False,1879.7564884669637,215.00018884339806,0.0
sub-001,ses-02,motorimagery,2023-12-14 17:42:16,215.99892,33,250.00125000625005,250.00119525819466,215.99892,19,25.0,198.0,True,False,1879.7564884669637,215.00018884339806,0.0
sub-001,ses-02,nback,2023-12-12 11:57:02,215.99892,33,250.00125000625005,250.00119525819466,215.99892,121,25.0,204.5,True,True,1879.7564884669637,215.00018884339806,0.0
sub-001,ses-02,nbackarithmetic,2024-02-12 09:26:02,215.99892,33,250.00125000625005,250.00119525819466,215.99892,73,25.0,203.5,True,True,1879.7564884669637,215.00018884339806,0.0
sub-001,ses-02,passivemotor,2024-02-19 11:24:03,215.99892,33,250.00125000625005,250.00119525819466,215.99892,19,25.0,194.0,True,False,1879.7564884669637,215.00018884339806,0.0
sub-001,ses-03,activemotor,2024-02-11 12:28:09,215.999352,33,250.00075000225,250.0006486478473,215.99935200000002,19,25.0,199.0,True,False,1865.518587671144,215.00026997892564,0.0
sub-001,ses-03,mentalarithmetic,2024-02-14 16:59:37,215.999352,33,250.00075000225,250.0006486478473,215.99935200000002,73,25.0,203.5,True,False,1865.518587671144,215.00026997892564,0.0
sub-001,ses-03,motorimagery,2023-12-14 17:42:57,215.999352,33,250.00075000225,250.0006486478473,215.99935200000002,19,25.0,198.0,True,False,1865.518587671144,215.00026997892564,0.0
sub-001,ses-03,nback,2023-12-12 11:58:28,215.999352,33,250.00075000225,250.0006486478473,215.99935200000002,121,25.0,204.5,True,True,1865.518587671144,215.00026997892564,0.0
sub-001,ses-03,nbackarithmetic,2024-02-12 09:26:30,215.999352,33,250.00075000225,250.0006486478473,215.99935200000002,73,25.0,203.5,True,True,1865.518587671144,215.00026997892564,0.0
sub-001,ses-03,passivemotor,2024-02-19 11:29:12,215.999352,33,250.00075000225,250.0006486478473,215.99935200000002,19,25.0,194.0,True,False,1865.518587671144,215.00026997892564,0.0
sub-002,ses-01,activemotor,2024-02-11 12:34:38,215.999136,33,250.00100000400002,250.0009635339967,215.999136,19,25.0,199.0,True,False,1896.523892213537,215.00019149460286,0.0
sub-002,ses-01,full,2024-02-12 10:31:22,215.999136,33,250.00100000400002,250.0009635339967,215.999136,73,25.0,203.5,True,False,1896.523892213537,215.00019149460286,0.0
