cutoff_s,n,n_features_behaviour,n_features_peripheral_added,n_features_eeg_added,mae_behaviour,spearman_behaviour,mae_behaviour_plus_peripheral,spearman_behaviour_plus_peripheral,ci_low_behaviour_plus_peripheral_vs_behaviour,ci_high_behaviour_plus_peripheral_vs_behaviour,mae_behaviour_plus_peripheral_plus_eeg,spearman_behaviour_plus_peripheral_plus_eeg,ci_low_behaviour_plus_peripheral_plus_eeg_vs_behaviour,ci_high_behaviour_plus_peripheral_plus_eeg_vs_behaviour
360,28,7,0,0,426.5717418872308,0.07334428024083196,426.5717418872308,0.07334428024083196,0.0,0.0,426.5717418872308,0.07334428024083196,0.0,0.0
720,26,9,5,3,265.5148553190595,0.7052991452991453,287.3668441180085,0.6505982905982907,-18.715604345068567,58.63193754864352,313.30717373620513,0.5596581196581196,-19.43013357248876,115.10233259779828
780,25,14,9,6,189.2843403194574,0.7492307692307693,208.29767465600224,0.693076923076923,-23.548681670508586,60.60622027709212,250.26142243142047,0.6107692307692307,-0.3024948418278703,119.15776700946361
900,26,14,9,6,162.15541485376832,0.6929914529914529,216.07411035529682,0.6417094017094016,16.91949994570008,93.52627390590247,225.26407468409187,0.617094017094017,26.926446234912145,99.9374525974452
1080,26,14,9,6,163.92895545909616,0.6950427350427351,223.3778103613649,0.6218803418803419,30.954631977639995,89.90140161279913,215.39332209375308,0.5999999999999999,16.668426054830245,95.52034174801432
