pid,ses,task,file,demand_rank,n_rest_bins_session,n_task_bins_valid_eeg,clock_source,eeg_frontal_theta_resp_phys,eeg_frontal_theta_resp_own_rest_phys,eeg_frontal_theta_scale_flag,eeg_frontal_theta_resp_z,eeg_frontal_theta_burden,eeg_frontal_theta_t_depart_b1.5,eeg_frontal_theta_t_depart_b2.0,eeg_frontal_theta_t_depart_b2.5,eeg_frontal_theta_departed_b2,eeg_parietal_alpha_resp_phys,eeg_parietal_alpha_resp_own_rest_phys,eeg_parietal_alpha_scale_flag,eeg_parietal_alpha_resp_z,eeg_parietal_alpha_burden,eeg_parietal_alpha_t_depart_b1.5,eeg_parietal_alpha_t_depart_b2.0,eeg_parietal_alpha_t_depart_b2.5,eeg_parietal_alpha_departed_b2,eeg_occipital_alpha_resp_phys,eeg_occipital_alpha_resp_own_rest_phys,eeg_occipital_alpha_scale_flag,eeg_occipital_alpha_resp_z,eeg_occipital_alpha_burden,eeg_occipital_alpha_t_depart_b1.5,eeg_occipital_alpha_t_depart_b2.0,eeg_occipital_alpha_t_depart_b2.5,eeg_occipital_alpha_departed_b2,eeg_central_beta_resp_phys,eeg_central_beta_resp_own_rest_phys,eeg_central_beta_scale_flag,eeg_central_beta_resp_z,eeg_central_beta_burden,eeg_central_beta_t_depart_b1.5,eeg_central_beta_t_depart_b2.0,eeg_central_beta_t_depart_b2.5,eeg_central_beta_departed_b2,load_rating,hr_resp_phys,hr_resp_own_rest_phys,hr_scale_flag,hr_resp_z,hr_burden,hr_t_depart_b1.5,hr_t_depart_b2.0,hr_t_depart_b2.5,hr_departed_b2,error_rate_task,rt_mean_task,hits_task,n_targets_task
sub-021,ses-01,full,sub-021_ses-01_full,6,12,18,declared_unverified,0.40827754008536,0.4167341433003986,False,1.6376701525798298,291.3834359769623,30.0,,,False,-0.1461475784342774,-0.11096824828239915,False,-1.1136484265918467,219.3317040378389,,,,False,-0.08134850374753577,-0.12222895258319078,False,-0.51294317072883,136.88693637780176,,,,False,0.1876643752114182,0.12346510262333532,False,1.3666975803676649,228.86995267886672,,,,False,9.0,,,,,,,,,,,,,
sub-021,ses-01,mentalarithmetic,sub-021_ses-01_mentalarithmetic,3,12,18,declared_unverified,-0.6292540317983881,-0.5956149847793661,False,-2.524044173606236,434.75845856456885,20.0,20.0,20.0,True,-0.06289975162896977,-0.02229933856652222,False,-0.4792977768435678,192.90843440741628,,,,False,-0.10326762525448352,0.018457126302185656,False,-0.6511542399853413,166.74974080028593,130.0,,,False,-0.1326633590419639,-0.027980003913554263,False,-0.9661433695225243,163.1768232766999,,,,False,3.0,,,,,,,,,,,,,
sub-021,ses-01,motorimagery,sub-021_ses-01_motorimagery,1,12,18,declared_unverified,-0.5551239064245805,-0.7116580137166075,False,-2.226695723563396,363.24378547635723,20.0,20.0,90.0,True,0.02245993474941277,-0.02125965997696455,False,0.17114529890269264,154.8218513485482,,,,False,0.020388743801505016,-0.011821726647558095,False,0.1285612692420115,119.11484436953502,,,,False,-0.06648596388525074,-0.0667267068337064,False,-0.4841952867613605,93.28474203073773,,,,False,1.0,,,,,,,,,,,,,
sub-021,ses-01,nback,sub-021_ses-01_nback,4,12,18,declared_unverified,0.13540332708794067,-0.019140713704048684,False,0.5431256083436851,163.3592082365949,,,,False,-0.09639423902327238,-0.11227095435404211,False,-0.7345266597698752,177.59334490710063,,,,False,-0.06524318993221756,-0.12702855996242346,False,-0.41139107876103576,132.7420381371744,,,,False,-0.08055452119855522,-0.17457363481546873,False,-0.5866519369257606,150.0529409649969,,,,False,8.0,,,,,,,,,,,,,
sub-021,ses-01,nbackarithmetic,sub-021_ses-01_nbackarithmetic,5,12,18,declared_unverified,0.0064422405841173536,0.31418066372923015,False,0.025840914781012633,290.95222796107413,80.0,,,False,-0.19820625210830312,-0.018384254513762688,False,-1.5103369016842236,281.71286438818515,10.0,,,False,-0.12927021972200725,-0.076082734917434,False,-0.8151136570477796,164.0769689126151,,,,False,-0.06361497439656594,0.0642169106968481,False,-0.4632868198079176,123.7917130570756,,,,False,8.0,,,,,,,,,,,,,
sub-021,ses-02,motorimagery,sub-021_ses-02_motorimagery,1,5,18,declared_unverified,-0.477446809730945,-0.4393229729829802,False,-1.572909492653157,276.79401617950697,40.0,,,False,-0.04874983990130455,0.082937637834957,False,-0.22374004777419684,98.86402138315235,,,,False,-0.13975906313760988,0.05301738937404843,False,-0.660983191397993,143.33184440763273,,,,False,-0.10948077166457015,-0.06058976802463201,False,-0.73230410168815,128.11583987820933,,,,False,1.0,,,,,,,,,,,,,
sub-021,ses-02,nback,sub-021_ses-02_nback,4,5,18,declared_unverified,-0.41807957335248414,-0.48865399833129686,False,-1.377328984523075,259.52901226543923,50.0,,,False,-0.26380314950118233,-0.17334582731594916,False,-1.2107389355918405,204.73456467734852,,,,False,-0.2347093756983215,-0.18741247234677605,False,-1.110045736692968,199.15748209456765,,,,False,-0.11344347081645922,-0.17574407610617115,False,-0.7588101337389235,173.528782933931,,,,False,5.0,,,,,,,,,,,,,
sub-021,ses-02,nbackarithmetic,sub-021_ses-02_nbackarithmetic,5,5,18,declared_unverified,-0.3740761060265696,-0.597065803874957,False,-1.2323631578468262,214.65998366698815,,,,False,-0.19693649395543456,-0.19693649395543456,False,-0.9038507747979829,164.35340974625902,,,,False,-0.1880648113667126,-0.1880648113667126,False,-0.8894427052965805,161.02762779658656,,,,False,-0.042377251549342354,-0.042377251549342354,False,-0.2834564888063968,73.19586658028007,,,,False,8.0,,,,,,,,,,,,,
sub-021,ses-03,activemotor,sub-021_ses-03_activemotor,2,9,18,declared_unverified,0.049766986787971534,-0.14276798891248,False,0.3598615918067005,209.1874702445437,,,,False,0.066428728607692,-0.16004162789213816,False,0.4557018115957528,120.17403574125375,,,,False,-0.059151744262535666,-0.24346631284219034,False,-0.5529668510786974,135.11128081534068,,,,False,-0.12640524429223987,-0.4995522294499448,False,-1.0065611059314394,192.49004790036722,,,,False,1.0,,,,,,,,,,,,,
sub-021,ses-03,mentalarithmetic,sub-021_ses-03_mentalarithmetic,3,9,18,declared_unverified,-0.6313297190982826,-0.4730029426300474,False,-4.565100930010418,792.81002302297,20.0,20.0,20.0,True,-0.053574335565831244,0.02241394695233412,False,-0.3675205334211554,168.67865736631165,,,,False,-0.13351918632691862,0.005469741209978118,False,-1.2481742498428408,291.59164721496535,20.0,20.0,,True,-0.049202538573239085,0.0478372093171453,False,-0.3917983143675171,102.81114974151804,,,,False,3.0,,,,,,,,,,,,,
